CITY,CITY_ID,TSEL,XL,ISAT,THREE,SMARTFREN,XL+,IOH
BENGKULU UTARA,1703,70.86,9.66,20.07,1.57,0.84,10.43,21.62
KAUR,1704,73.34,10.86,17.12,2.41,1.2,12.04,19.32
SELUMA,1705,59.71,19.12,18.88,7,0.92,19.85,25.13
MUKOMUKO,1706,76.43,7.35,15.28,3.3,1.19,8.36,18.19
LEBONG,1707,72.27,6.36,24.21,1.41,0.89,7.22,25.71
KEPAHIANG,1708,60.87,24.5,14.01,3.06,0.64,26.1,17.33
BENGKULU TENGAH,1709,57.89,25.13,14.37,4.23,0.56,25.99,18.26
KOTA BENGKULU,1771,51.5,19.19,19.13,14.47,0.69,19.96,33.21
LAMPUNG BARAT,1801,34.76,26.67,38.19,3.68,1.44,28.01,42.57
TANGGAMUS,1802,44.03,28.06,22.87,7.99,1.53,29.45,30.68
LAMPUNG SELATAN,1803,23.72,27.78,30.33,17.26,5.66,33.35,47.09
LAMPUNG TIMUR,1804,32.17,24.95,30.71,5.67,10.5,35.14,36.23
LAMPUNG TENGAH,1805,27.29,29.54,32.61,7.77,7.14,36.41,39.97
LAMPUNG UTARA,1806,29.58,34.5,25.54,12.37,3.93,37.78,37.05
WAY KANAN,1807,34.47,23.27,40.04,5.13,2.68,25.21,44.78
TULANGBAWANG,1808,52.69,16.33,29.78,2.82,2.49,18.56,31.98
PESAWARAN,1809,28.82,27.4,23.89,10.46,13.35,40.16,34.34
PRINGSEWU,1810,30.21,21.45,31.58,9.44,11.97,33.39,40.85
MESUJI,1811,54.06,8.55,31.43,7.23,2.81,11.39,38.44
TULANG BAWANG BARAT,1812,43.81,23.35,32.17,3.26,2.08,25.22,34.46
PESISIR BARAT,1813,54.68,14.08,28.52,7.45,1.94,15.69,34.85
KOTA BANDAR LAMPUNG,1871,32.95,20.66,24.28,21.67,5.3,25.93,45.45
KOTA METRO,1872,32.85,20.89,26.19,17.03,8.77,30.26,42.06
BANGKA,1901,45.09,37.83,12.86,4.46,3.11,40.87,17.08
BELITUNG,1902,51.52,45.89,3.41,0.86,0.75,46.79,4.34
BANGKA BARAT,1903,54.75,29.91,13.38,2.78,3.4,32.52,15.56
BANGKA TENGAH,1904,37.05,54.12,8.87,2.32,2.18,55.37,11.36
BANGKA SELATAN,1905,36.65,55.95,5.27,2.37,2.94,58.75,7.56
BELITUNG TIMUR,1906,55.31,43.17,3.71,0.78,0.89,43.63,4.57
KOTA PANGKALPINANG,1971,44.24,35.23,13.75,6.3,4.68,39.21,19.34
KARIMUN,2101,71.13,14.57,9.31,3.33,1.73,16.23,12.33
BINTAN,2102,50.77,39.59,6.01,4.51,1.4,40.71,10.26
NATUNA,2103,78.03,15.14,3.11,1.11,6.24,20.71,4.06
LINGGA,2104,74.33,18.52,7.31,1.17,0.46,19.42,8.54
KEPULAUAN ANAMBAS,2105,92.03,2.27,1.02,0.73,6.29,8.78,0.88
KOTA BATAM,2171,58.1,18.23,11.91,11.7,2.6,20.72,23.49
KOTA TANJUNG PINANG,2172,60.63,29.25,5.57,5.41,1.33,30.33,10.8
KEPULAUAN SERIBU,3101,44.15,20.23,30.43,3.34,2.84,19.73,36.12
JAKARTA SELATAN,3171,38.84,20.18,28,12.15,5.03,25.07,39.73
JAKARTA TIMUR,3172,37.51,18.88,26.47,14.57,6.83,25.49,40.63
JAKARTA PUSAT,3173,35.8,19.49,28.62,12.23,7.87,27.16,40.51
JAKARTA BARAT,3174,34.28,19.77,28.61,14.35,7.32,26.89,42.56
JAKARTA UTARA,3175,32.43,21.07,29.25,13.38,7.78,28.65,42.19
BOGOR,3201,22.88,22.13,36.3,15.43,7.34,29.26,51.21
SUKABUMI,3202,14.62,21.24,58.2,6.16,3.58,24.71,64.03
CIANJUR,3203,17.58,36.55,41.73,6.1,2.66,39.1,47.42
BANDUNG,3204,30.98,34.26,16.86,13.44,8.94,42.81,30.04
GARUT,3205,34.38,30.9,15.41,17.44,7.34,37.94,32.49
TASIKMALAYA,3206,50.56,22.68,19.35,7.96,3.46,26.26,27.02
CIAMIS,3207,45.38,24.45,20.32,8.55,5.38,29.36,28.71
KUNINGAN,3208,27.34,30.28,25.23,18.49,2.69,32.94,43.02
CIREBON,3209,27.37,38.09,11.42,19.76,7.38,45.11,30.97
MAJALENGKA,3210,36.68,28.81,21.79,12.25,4.47,33.03,33.86
SUMEDANG,3211,38.71,29.21,19,10.27,7.29,36.39,29.26
INDRAMAYU,3212,26.83,48.31,9.75,15,2.8,50.76,24.63
SUBANG,3213,34.99,42.72,12.2,10.05,3.38,45.92,22.25
PURWAKARTA,3214,19.77,51.93,18.24,10.24,3.53,55.23,28.16
KARAWANG,3215,20,24.13,40.5,14.94,4.45,28.37,54.94
BEKASI,3216,30.76,18.29,31.25,15.64,8.17,26.28,46.34
BANDUNG BARAT,3217,26.54,39.04,20.76,10.98,7.05,45.66,31.41
PANGANDARAN,3218,58.33,15.72,20.78,3.46,4.88,20.12,24.36
KOTA BOGOR,3271,21.73,20.67,35.86,19.04,7.46,27.78,54.29
KOTA SUKABUMI,3272,16.84,23.18,50.39,10.59,3.1,26.6,60.62
KOTA BANDUNG,3273,34.11,26.98,17.62,17.52,8.43,35.03,34.85
KOTA CIREBON,3274,33.06,26.95,10.8,25.27,8.61,35.2,35.71
KOTA BEKASI,3275,32.13,18.79,27.05,17.98,8.48,27.04,44.5
KOTA DEPOK,3276,31.28,20.24,25.86,19.8,7.09,27.15,45.21
KOTA CIMAHI,3277,33.59,22.45,19.42,19.54,8.95,31.28,38.66
KOTA TASIKMALAYA,3278,41.03,29.21,18.58,12.21,3.57,32.49,30.77
KOTA BANJAR,3279,36.91,24.97,19.67,16.96,6.49,30.82,35.83
CILACAP,3301,24.86,17.86,26.06,9.9,24.68,42.31,35.58
BANYUMAS,3302,30.82,19.08,29.15,10.07,14.81,33.58,38.96
PURBALINGGA,3303,27.73,20.42,32.1,8.99,14.65,34.73,40.54
BANJARNEGARA,3304,40.22,13.78,24.65,8.07,17.26,30.66,32.49
KEBUMEN,3305,29.89,25.65,20.53,10.64,17.53,42.34,31.03
PURWOREJO,3306,41.29,12.48,22.92,11.21,15.74,27.72,33.49
WONOSOBO,3307,38.99,15.91,23.27,9.9,15.19,30.89,32.91
MAGELANG,3308,26.42,21.05,33.02,8.1,15.12,36.01,40.96
BOYOLALI,3309,29.8,14.24,34.67,8.43,16.42,30.57,42.72
KLATEN,3310,23.12,17.94,36.99,11.97,13.42,31.22,48.6
SUKOHARJO,3311,26.84,19.21,32.01,12.99,12.23,31.28,44.81
WONOGIRI,3312,44.78,18.24,20.08,9.32,10.96,29.31,29.25
KARANGANYAR,3313,32.39,17.9,28.25,12.51,11.96,29.77,40.71
SRAGEN,3314,37.35,14.51,24.49,7.72,19.09,33.46,32.04
GROBOGAN,3315,28.69,11.36,22.03,9.42,31.87,43.09,31.47
BLORA,3316,33.47,13.41,16.4,8.19,31.76,44.93,24.59
REMBANG,3317,35.29,14.24,14.09,14.79,25.13,39.06,28.14
PATI,3318,39.4,12.41,19,15.47,16.6,28.93,34.17
KUDUS,3319,20.9,18.57,36.39,12.46,14.47,32.97,48.81
JEPARA,3320,26.15,19.63,21.32,20.6,16.59,35.87,41.44
DEMAK,3321,21.95,15.3,23.36,14.38,28.11,43.09,37.65
SEMARANG,3322,24.89,20.68,31.04,11.28,15.51,35.91,42.07
TEMANGGUNG,3323,29.65,17.8,29.4,9.39,18.14,35.12,38.53
KENDAL,3324,23.61,30.24,16.82,15.7,17.18,47.06,32.4
BATANG,3325,33.23,20.14,35.28,6.82,8,28.01,41.94
PEKALONGAN,3326,23.13,18.23,44.81,8.69,8.61,26.78,53.11
PEMALANG,3327,26.86,31.72,22.27,11.3,11.73,43.17,33.17
TEGAL,3328,22.06,29.11,25.55,12.22,15.46,44.18,37.33
BREBES,3329,17.48,35.08,28.25,9.89,12.56,47.22,37.89
KOTA MAGELANG,3371,26.61,18.45,38.34,10.22,11.86,29.46,48.5
KOTA SURAKARTA,3372,31.73,17.32,28.03,16.47,11.02,28.09,43.79
KOTA SALATIGA,3373,27.52,20.28,32.45,10.99,11.77,31.67,43.2
KOTA SEMARANG,3374,29.92,16.53,22.19,19.53,15.85,32.12,41.45
KOTA PEKALONGAN,3375,18.83,25.97,39.95,12.13,7.71,32.87,51.63
KOTA TEGAL,3376,22.16,28.89,23.99,19.63,10.99,38.99,43.06
KULON PROGO,3401,32.72,20.76,24.34,9.58,16.02,36.28,33.98
BANTUL,3402,28.08,18.92,20.58,21.67,14.46,33.38,41.69
GUNUNG KIDUL,3403,29.22,26.97,17.56,8.57,20.09,47.07,26.43
SLEMAN,3404,35.82,19.59,20.51,16.4,11.69,31.02,36.48
KOTA YOGYAKARTA,3471,32.49,19.36,19.01,22.06,11.44,30.34,40.71
PACITAN,3501,45.95,41.74,6.91,4.21,4.18,46.38,10.85
PONOROGO,3502,43.66,17.86,22.9,9.78,7.87,25.52,32.54
TRENGGALEK,3503,61.91,17.95,15.69,3.47,2.04,20.5,19.29
TULUNGAGUNG,3504,35.32,13.65,43.02,7.54,2.94,16.48,50.21
BLITAR,3505,25.77,9.04,59.11,4.23,3.38,12.64,63.11
KEDIRI,3506,28.49,16.66,49.09,5.68,2.66,19.29,54.52
MALANG,3507,39.85,15.92,27.57,11.37,8.21,24.03,38.67
LUMAJANG,3508,40.3,20.2,33.38,4.39,4.16,24.03,37.69
JEMBER,3509,47.66,16.55,26.18,6.93,4.9,21.4,32.96
BANYUWANGI,3510,47.99,25.93,19.59,4.78,4.02,29.83,24.39
BONDOWOSO,3511,50.78,18.82,26.22,4.75,2.09,21.2,31.2
SITUBONDO,3512,47.92,24.41,20.24,8.26,2.85,27.18,27.91
PROBOLINGGO,3513,40.33,27.3,19.93,13.55,3.61,31.15,32.83
PASURUAN,3514,28.39,18.41,40.4,9.29,6.07,24.25,49.4
SIDOARJO,3515,32.2,19.28,25.71,16.61,9.84,29,41.93
MOJOKERTO,3516,25.87,19,45.27,7.16,6,24.8,51.92
JOMBANG,3517,25.09,15.27,52.45,6.1,3.89,19.19,58.1
NGANJUK,3518,34.58,18.16,38.77,8.36,3.12,21.04,46.63
MADIUN,3519,35.97,16.4,33.47,10.46,6.17,22.44,43.83
MAGETAN,3520,32.14,11.54,43.73,10.52,4.41,15.99,53.94
NGAWI,3521,33.32,14.23,44.92,5.04,4.77,19.27,50.01
BOJONEGORO,3522,35.32,13.48,37.08,7.32,9.94,23.29,44.1
TUBAN,3523,30.63,18.8,31.4,9.89,12.71,31.37,40.69
LAMONGAN,3524,24.12,12.61,52.14,7.46,6.2,18.69,59.44
GRESIK,3525,32.89,18.31,35.6,8.39,7.58,25.87,43.87
BANGKALAN,3526,25.5,42.03,24.91,6.05,3.94,45.57,31.09
SAMPANG,3527,22.26,54.6,17.5,5.23,2.4,56.35,22.72
PAMEKASAN,3528,21.56,62.95,10.83,5.73,2.28,64.79,16.26
SUMENEP,3529,29.59,60.36,7.95,3.17,1.96,62.58,10.96
KOTA KEDIRI,3571,33.39,16.43,41.95,8.85,2.71,19.02,51.01
KOTA BLITAR,3572,28.03,11.22,54.55,6.05,3.08,14.3,59.83
KOTA MALANG,3573,41.75,19.16,20.88,13.67,7.65,26.72,34.43
KOTA PROBOLINGGO,3574,45.69,20.16,16.34,17.05,4.23,24.42,33.68
KOTA PASURUAN,3575,31.69,27.56,29.35,9.56,5.32,33.36,38.96
KOTA MOJOKERTO,3576,25.47,17.78,44.45,8.92,6.6,24.84,53.19
KOTA MADIUN,3577,36.7,15.93,26.91,17.11,6.37,22.36,43.99
KOTA SURABAYA,3578,37.66,20.92,22.88,13.35,9.03,29.76,35.92
KOTA BATU,3579,41.8,18.1,24.55,12.76,6.33,24.23,37.35
PANDEGLANG,3601,16.56,52.19,25.19,6.94,2.41,54.67,32
LEBAK,3602,19.14,36.91,36.9,7.41,3.69,40.46,44.07
TANGERANG,3603,28.87,26.3,25.33,14.79,8.66,34.68,39.76
SERANG,3604,19.96,47.46,21.14,8.26,6.95,54.08,29.27
KOTA TANGERANG,3671,29.51,21.93,24.68,19.54,8.71,30.36,43.77
KOTA CILEGON,3672,28.84,39.06,10.86,20.63,4.66,43.79,31.55
KOTA SERANG,3673,22.67,47.94,11.7,17.59,4.54,52.26,29.23
KOTA TANGERANG SELATAN,3674,35.3,22.25,24.51,15.17,6.88,29.05,39.09
JEMBRANA,5101,25.02,44.45,20.01,3.67,9.06,52.97,23.35
TABANAN,5102,32.3,33.84,25.27,4.9,5.59,39.35,30.1
BADUNG,5103,38.42,27.91,21.02,7.39,6.57,34.21,28.24
GIANYAR,5104,33.01,40.22,16.86,6.08,5.12,45.12,22.99
KLUNGKUNG,5105,36.85,39.75,14.71,3.12,5.93,45.02,18.57
BANGLI,5106,35.4,44.97,14.91,1.72,4.99,49.49,17.04
KARANG ASEM,5107,36.03,30.55,25.04,2.87,7.12,37.61,27.9
BULELENG,5108,24.73,42.28,16.56,4.65,14.12,55.95,21.19
KOTA DENPASAR,5171,41.05,27.35,16.94,12.6,5.33,32.5,29.45
LOMBOK BARAT,5201,18.77,73.52,3.47,4.67,1.48,74.76,7.89
LOMBOK TENGAH,5202,12.59,79.65,4.03,3.67,0.96,80.37,7.78
LOMBOK TIMUR,5203,11.55,81.93,2.96,2.91,0.87,82.53,5.87
SUMBAWA,5204,65.88,29.25,4.55,1.53,2.44,31.25,6.11
DOMPU,5205,59.78,30.12,6.18,3.75,4.17,34.5,10.04
BIMA,5206,71.11,17.99,4.02,2.73,7.29,25.13,6.67
SUMBAWA BARAT,5207,81.9,15.49,2.93,1.69,1.83,17.49,4.59
LOMBOK UTARA,5208,31.49,64.45,1.88,3.35,0.87,65.63,5.23
KOTA MATARAM,5271,25.19,65.05,3.85,7.47,1.66,66.53,11.49
KOTA BIMA,5272,77.68,12.1,4.06,3.87,5.23,17.49,7.97
SUMBA BARAT,5301,87.78,1.56,5.14,7.57,0.72,2.29,12.61
SUMBA TIMUR,5302,84.84,2.48,5.28,9.35,2.37,4.91,14.15
KUPANG,5303,79.24,10.34,7.2,3.95,1.77,12.33,11.29
TIMOR TENGAH SELATAN,5304,91.62,3.26,3.92,3.62,0.61,3.88,7.46
TIMOR TENGAH UTARA,5305,88.7,5.16,4.81,2.8,0.59,5.72,7.51
BELU,5306,93.41,2.14,2.36,2.26,0.26,2.45,4.59
ALOR,5307,92.65,3.23,4.14,2.24,0.49,3.6,6.35
LEMBATA,5308,94.94,1.2,1.1,3.05,0.24,1.39,4.27
FLORES TIMUR,5309,90.57,1.43,4.58,5.17,0.47,1.84,9.68
SIKKA,5310,91.22,1.78,4.97,4.39,0.57,2.27,9.18
ENDE,5311,88.65,3.87,4.57,4.81,1.4,5.13,9.38
NGADA,5312,90.97,2.47,4.77,4.23,0.91,3.37,8.84
MANGGARAI,5313,84.2,6.21,5.52,7.92,1.02,7.24,13.12
ROTE NDAO,5314,88.17,2.11,3.86,3.6,0.4,2.49,7.39
MANGGARAI BARAT,5315,86,5.33,6.28,4.93,0.77,6.3,11
SUMBA TENGAH,5316,89.12,2.09,2.7,8.7,0.4,2.75,11.62
SUMBA BARAT DAYA,5317,90.23,1.47,5.45,5.22,1.03,2.57,10.65
NAGEKEO,5318,90.14,3.81,3.28,3.32,2.03,5.64,6.38
MANGGARAI TIMUR,5319,88.28,4.07,4.67,4.3,0.56,4.65,9.14
SABU RAIJUA,5320,99,0,0.36,0,0,0.61,0.5
MALAKA,5321,88.54,4.21,3.62,3.63,1,5.31,7.12
KOTA KUPANG,5371,78.72,9.99,9.63,3.87,1.83,11.83,13.39
SAMBAS,6101,36.67,24.34,26.39,10.94,1.03,25.4,37
BENGKAYANG,6102,41.22,18.38,35.65,9.25,1.31,19.13,43.87
LANDAK,6103,53.25,16.14,27.13,5.92,0.81,16.58,32.69
MEMPAWAH,6104,23.57,31.46,24.17,22.77,1.91,32.52,44.47
SANGGAU,6105,47.28,8.37,39.97,7.3,0.57,8.98,47.06
KETAPANG,6106,62.73,3.22,16.3,21.97,0.43,3.64,37.85
SINTANG,6107,52.09,7.5,40.67,3.95,0.41,7.71,44.58
KAPUAS HULU,6108,63.11,1.74,35.8,3.28,0.35,2.09,38.31
SEKADAU,6109,49.19,9.41,41.89,3.59,0.34,9.74,44.88
MELAWI,6110,69.22,2.27,26.92,3.5,0.35,2.58,30.38
KAYONG UTARA,6111,56.18,1.5,25.56,21.76,0.34,1.84,45.69
KUBU RAYA,6112,34.21,15.13,32.49,20.39,2.33,17.32,51.94
KOTA PONTIANAK,6171,32.89,14.13,28.37,27.3,1.85,16,54.93
KOTA SINGKAWANG,6172,28.69,26.34,20.22,26.18,2.22,28.28,45.93
KOTA WARINGIN BARAT,6201,49.43,10.41,41.16,3.58,0.68,10.88,44.96
KOTA WARINGIN TIMUR,6202,46.26,12.24,37.52,8.73,0.6,12.78,45.74
KAPUAS,6203,60.26,16.76,18.53,6.48,2.19,18.55,25.32
BARITO SELATAN,6204,81.34,6.23,12.76,2.21,0.63,6.99,14.48
BARITO UTARA,6205,74.8,2.67,24.53,1.35,0.38,2.87,25.65
SUKAMARA,6206,71.57,5.15,26.12,1.23,1.06,6.4,26.69
LAMANDAU,6207,71.18,3.09,28.9,1.19,0.37,3.47,29.62
SERUYAN,6208,64.07,4.7,34.4,1.24,0.46,5.3,34.84
KATINGAN,6209,64.27,8.34,25.27,5.5,0.68,9.08,30.9
PULANG PISAU,6210,73.03,14.44,13.79,1.41,0.65,15.64,15.36
GUNUNG MAS,6211,85.74,8.95,7.5,0.96,0.37,9.29,8.33
BARITO TIMUR,6212,70.34,10.36,21.3,1.8,1.15,12.13,22.29
MURUNG RAYA,6213,78.4,2.95,21.4,0.6,0.12,3.21,22.1
KOTA PALANGKARAYA,6271,65.35,14.7,14.61,8.57,0.69,15.51,23.07
TANAH LAUT,6301,39.08,39.58,18.48,3.69,3.41,43.11,22.23
KOTA BARU,6302,63.06,19.62,16.48,1.96,4.18,23.31,17.63
