CITY,CITY_ID,TSEL,XL,ISAT,THREE,SMARTFREN,XL+,IOH
TEMANGGUNG,3323,29.92,20.58,28.45,9.65,18.11,38.1,37.16
KENDAL,3324,24.18,32.18,17,17.42,15.25,46.36,34.12
BATANG,3325,33.68,22.9,34.37,7.26,8.14,30.5,41.06
PEKALONGAN,3326,25.85,20.3,42.65,8.96,8.38,28.68,51.06
PEMALANG,3327,28.54,32.8,21.6,12.62,11.65,43.61,33.53
TEGAL,3328,24.32,30.88,25.14,12.75,13.84,43.72,37.45
BREBES,3329,17.41,33.08,31.28,10.54,12.83,45.17,41.34
KOTA MAGELANG,3371,26.44,20.19,37.49,9.82,13.88,33.23,47.07
KOTA SURAKARTA,3372,33.32,18.48,28.05,16.69,11.08,29,44.21
KOTA SALATIGA,3373,27.63,22.51,33.73,11.03,12.38,34.12,44.93
KOTA SEMARANG,3374,31.11,17.5,21.39,19.57,17.49,34.43,40.3
KOTA PEKALONGAN,3375,19.76,26.98,40.83,12.05,7.96,34.3,51.89
KOTA TEGAL,3376,22.66,30.45,23.46,18.14,12.46,42.47,40.81
KULON PROGO,3401,34.5,23.32,24.61,9.49,15,36.34,33.51
BANTUL,3402,27,19.73,19.97,25.74,14.18,33.64,45.05
GUNUNG KIDUL,3403,30.59,29.62,17.89,9.68,19.46,47.97,26.49
SLEMAN,3404,37.95,20.65,20.76,16.76,11.11,31.34,36.91
KOTA YOGYAKARTA,3471,34.12,20.45,19.95,20.42,12.71,32.7,39.6
PACITAN,3501,47.68,42.56,7.45,4.16,3.23,45.34,11.25
PONOROGO,3502,44.61,19.34,22.94,10.01,8.08,27.16,32.55
TRENGGALEK,3503,61.31,21.22,16.03,3.4,1.66,22.79,19.39
TULUNGAGUNG,3504,35.9,15.3,42.66,7.49,2.8,18.08,49.93
BLITAR,3505,26.96,11.14,57.86,4.31,3.59,14.59,61.93
KEDIRI,3506,28.58,18.87,48.96,6.11,2.57,21.28,54.38
MALANG,3507,40.8,17.37,27.79,10.39,8.39,25.37,37.8
LUMAJANG,3508,39.35,23.95,32.4,4.75,4.06,27.77,36.5
JEMBER,3509,48.21,19.14,25.92,6.71,5.04,23.99,32.3
BANYUWANGI,3510,47.9,28.32,19.42,4.85,4.12,32.07,24.25
BONDOWOSO,3511,50.08,23.6,25.26,4.14,2.17,26.29,29.2
SITUBONDO,3512,47.05,27.63,20.01,8.18,2.59,30.04,28.05
PROBOLINGGO,3513,37.72,37.16,20.31,11.89,2.49,39.52,30.35
PASURUAN,3514,28.89,19.32,40.87,9.94,6.04,25.22,50.19
SIDOARJO,3515,32.73,19.75,26.22,18.13,9.54,28.94,43.6
MOJOKERTO,3516,26.38,20.74,45.45,7.49,5.65,26.43,52.29
JOMBANG,3517,24.05,18.51,52.3,6.12,3.75,22.1,58.02
NGANJUK,3518,35.32,20.73,37.41,8.6,3.02,23.59,45.29
MADIUN,3519,36.82,18.58,33.25,10.19,6.39,24.45,42.7
MAGETAN,3520,32.9,13.77,44.21,10.17,4.21,18.04,54.16
NGAWI,3521,33.66,16.46,45.25,5.08,4.85,20.84,49.71
BOJONEGORO,3522,35.78,15.8,37.01,7.38,9.81,25.33,43.67
TUBAN,3523,31.06,21.13,31.27,9.77,12.75,33.27,40.48
LAMONGAN,3524,24.55,14.53,52.11,7.52,6.36,20.72,59.25
GRESIK,3525,31.12,20.73,37.37,10.06,5.74,26.32,47
BANGKALAN,3526,26.7,45.4,24.42,6.35,3.54,48.26,30.32
SAMPANG,3527,23.79,57.16,17.17,5.52,2.17,59.37,22.29
PAMEKASAN,3528,20.42,66.03,11.34,6.19,2.39,67.98,17.12
SUMENEP,3529,28.74,62.56,8.72,3.67,1.61,63.94,12.63
KOTA KEDIRI,3571,31.14,18.09,45.76,8.06,2.42,20.47,53.28
KOTA BLITAR,3572,26.42,12.7,55.37,5.02,3.56,16.26,60.54
KOTA MALANG,3573,41.76,20.07,23.44,12.57,7.91,27.73,35.63
KOTA PROBOLINGGO,3574,42.87,27.97,17.32,15.8,3.5,31.22,32.3
KOTA PASURUAN,3575,29.4,29.42,32.85,8.2,5.42,34.55,40.71
KOTA MOJOKERTO,3576,25.26,20.15,45.09,8.64,6.29,26.77,53.61
KOTA MADIUN,3577,36.36,16.73,29.24,16.3,6.58,23.03,44.52
KOTA SURABAYA,3578,36.7,24.46,23.81,12.92,9.08,33.01,36.26
KOTA BATU,3579,40.72,20.82,25.92,12.22,6.42,26.96,37.14
PANDEGLANG,3601,17.34,53.3,25.43,7.08,2.89,55.83,32.29
LEBAK,3602,20.21,37.52,37.35,7.15,4.12,41.13,44.12
TANGERANG,3603,26.22,30.59,25.6,15.58,8.27,38.53,40.52
SERANG,3604,20.26,48.82,21.63,8.25,7.57,55.9,29.41
KOTA TANGERANG,3671,27.95,23,26.43,20.52,9.28,31.9,46.07
KOTA CILEGON,3672,29.04,40.33,11.21,21.95,4.98,44.88,32.65
KOTA SERANG,3673,21.97,49.24,13.81,16.82,5.22,54.22,30.36
KOTA TANGERANG SELATAN,3674,33.57,23.23,24.95,16.24,8.8,31.76,40.55
JEMBRANA,5101,25.09,46.15,19.24,4.03,8.88,54.73,23.16
TABANAN,5102,33.56,37.66,21.37,5.14,5.58,42.97,26.64
BADUNG,5103,40.07,29.41,20.46,7.24,6.73,35.67,27.56
GIANYAR,5104,32.83,39.2,19.3,6.17,5.44,44.17,25.75
KLUNGKUNG,5105,38.06,40.08,15.49,3.38,5.23,44.56,18.85
BANGLI,5106,35.11,44.89,15.63,2.25,5.54,50.2,17.63
KARANG ASEM,5107,32.68,35.56,25.95,3.58,6.09,41.14,29.39
BULELENG,5108,25.01,44.33,16.19,5,14.52,57.67,20.88
KOTA DENPASAR,5171,43.28,29.63,15.66,11.04,5.42,34.81,26.4
LOMBOK BARAT,5201,19.15,75.61,3.44,5.04,1.29,76.64,8.51
LOMBOK TENGAH,5202,14.71,79.35,4.63,4.32,0.76,80.05,8.72
LOMBOK TIMUR,5203,13.25,82.12,3.18,3.73,0.52,82.46,6.96
SUMBAWA,5204,66.28,32.09,4.19,1.62,0.83,32.81,5.82
DOMPU,5205,60.89,34.39,6.99,3.07,1.65,36.21,10.07
BIMA,5206,75.13,21.12,3.81,2.76,1.41,22.95,6.52
SUMBAWA BARAT,5207,80.91,17.48,3.6,2.11,0.76,17.58,5.69
LOMBOK UTARA,5208,34.57,63.72,2.11,3.32,0.58,64.23,5.31
KOTA MATARAM,5271,22.62,69.46,4.02,7.95,1.56,70.76,11.87
KOTA BIMA,5272,81.26,15.92,3.7,3.4,1.33,17.26,7.09
SUMBA BARAT,5301,92.29,2.25,3.99,6.01,0.32,2.59,10.44
SUMBA TIMUR,5302,87.35,3.66,3.79,8.72,0.87,4.46,12.14
KUPANG,5303,80.54,11.75,7.47,3.26,0.56,12.63,10.76
TIMOR TENGAH SELATAN,5304,87.91,6.17,4.77,5.07,0.55,6.76,9.54
TIMOR TENGAH UTARA,5305,87.47,6.83,5.38,2.79,0.3,7.27,8.15
BELU,5306,91.84,3.18,2.61,3.19,0.22,3.48,5.73
ALOR,5307,90.47,4.6,5.07,3.1,0.33,4.98,8.06
LEMBATA,5308,93.72,1.64,1.32,3.41,0.19,1.96,4.69
FLORES TIMUR,5309,90.42,2.07,3.82,5.28,0.23,2.24,9.01
SIKKA,5310,91.67,2.97,4.1,4.36,0.35,3.3,8.22
ENDE,5311,88.59,4.87,4.48,5.33,0.44,5.2,9.73
NGADA,5312,91.18,2.72,4.44,3.97,0.5,3.12,8.33
MANGGARAI,5313,86.53,5.87,4.64,7.15,0.33,6.2,11.93
ROTE NDAO,5314,87.3,3.85,4.82,4.08,0,4.08,9.03
MANGGARAI BARAT,5315,88.78,5.42,5.31,4.82,0.37,5.75,9.95
SUMBA TENGAH,5316,92.02,1.89,1.6,8.33,0.32,2.23,9.92
SUMBA BARAT DAYA,5317,92.24,2.28,3.57,4.91,0.72,2.99,8.44
NAGEKEO,5318,91.44,3.44,3.14,3.97,0.39,3.88,7.13
MANGGARAI TIMUR,5319,87.75,5.46,5.42,4.79,0.26,5.65,10.48
SABU RAIJUA,5320,100,0,0,0,0,0,0.88
MALAKA,5321,87.12,6.12,3.3,4.07,0.47,6.52,7.33
KOTA KUPANG,5371,82.09,10.64,8.34,3.4,0.52,11.24,11.59
SAMBAS,6101,38.52,25.69,25.92,11.58,0.47,26.21,37.15
BENGKAYANG,6102,43.34,17.98,35.24,9.61,0.92,18.49,44.53
LANDAK,6103,55.37,15.65,26.61,6.88,0.31,16.65,33.09
MEMPAWAH,6104,23.93,31.6,25.14,24.17,1.24,32.71,47.93
SANGGAU,6105,48.54,8.83,38.32,9.39,0.28,8.97,47.21
KETAPANG,6106,64.33,3.59,16.51,21.14,0.19,3.84,36.85
SINTANG,6107,52.82,7.16,42.55,4.12,0.17,7.49,46.19
KAPUAS HULU,6108,63.78,1.6,36.09,4.09,0.25,1.76,40.2
SEKADAU,6109,47.77,9.45,44.83,4.3,0.27,9.76,48.72
MELAWI,6110,74.8,1.96,26.06,4.29,0.14,2.14,29.84
KAYONG UTARA,6111,55.17,1.34,26.34,24.31,0.31,1.31,48.6
KUBU RAYA,6112,35.77,17.03,30.11,22.12,1.84,18.66,51.27
KOTA PONTIANAK,6171,35.21,15.96,28.01,26.38,1.67,17.41,52.96
KOTA SINGKAWANG,6172,27.99,24.88,20.74,28.37,2.43,27.19,48.07
KOTA WARINGIN BARAT,6201,51.82,11.53,39.88,4.3,0.34,11.85,44.06
KOTA WARINGIN TIMUR,6202,46.68,12.74,39.06,8.53,0.21,12.98,46.81
KAPUAS,6203,58.62,17.43,20.9,7.96,1.93,19.29,28.34
BARITO SELATAN,6204,79.02,8.18,14.1,2.69,0.32,8.6,17.14
BARITO UTARA,6205,75.89,3.55,24.95,1.44,0.2,3.68,26.67
SUKAMARA,6206,66.19,5.7,29.11,1.25,0,5.95,30.45
LAMANDAU,6207,72.25,2.85,29.29,1.22,0,2.89,30.23
SERUYAN,6208,71.59,4.54,27.73,1.41,0.34,4.89,29.98
KATINGAN,6209,66.34,6.68,26.09,5.82,0.24,6.85,32.31
PULANG PISAU,6210,70.62,17.96,14.34,2,0.3,17.87,16.38
GUNUNG MAS,6211,84.4,9.64,7.28,1.47,0.34,9.79,8.86
BARITO TIMUR,6212,73.46,9.39,21.5,1.5,0.24,9.55,23.32
MURUNG RAYA,6213,79.32,3.72,21.1,0.71,0,3.93,22.47
KOTA PALANGKARAYA,6271,69.79,14.18,13.89,7.66,0.25,14.57,21.54
TANAH LAUT,6301,40.71,36.9,23.4,4.05,3.11,39.48,27.18
KOTA BARU,6302,64.14,20.23,18.2,1.87,3.28,23.28,19.88
